customer_id,age,tenure_months,monthly_charges,support_calls,contract_type,payment_method,region,signup_date,churn
1,56.0,33,117.6,1,One year,Credit Card,West,2022-05-19,0
2,69.0,27,86.74,0,One year,Electronic Check,East,2022-03-13,0
3,46.0,36,21.04,2,Month-to-month,Debit Card,East,2021-03-01,0
4,32.0,29,45.54,1,Month-to-month,,West,2020-05-04,0
5,60.0,38,46.07,3,Two year,Bank Transfer,East,2023-05-02,0
6,,57,26.93,4,Month-to-month,Electronic Check,North,2020-02-23,1
7,38.0,27,115.98,2,One year,Credit Card,West,2018-11-15,0
8,56.0,55,67.83,2,Two year,Bank Transfer,East,2020-04-23,0
9,36.0,33,109.58,3,Month-to-month,Electronic Check,West,2023-05-27,1
10,40.0,68,52.22,1,Month-to-month,Debit Card,South,2023-02-20,0
11,28.0,66,,1,Two year,Debit Card,West,2019-09-13,0
12,28.0,10,67.43,4,Month-to-month,Bank Transfer,East,2020-02-24,1
13,41.0,5,,1,Month-to-month,Credit Card,North,2021-04-06,0
14,53.0,38,68.6,1,Month-to-month,Electronic Check,West,2019-02-01,0
15,57.0,13,112.03,1,Month-to-month,Bank Transfer,West,2021-04-18,1
16,41.0,31,72.08,3,One year,Debit Card,East,2020-12-17,0
17,20.0,47,81.65,3,Two year,Credit Card,North,2022-02-12,0
18,39.0,52,35.66,3,One year,Electronic Check,North,2023-05-11,0
19,19.0,56,24.37,1,Month-to-month,Bank Transfer,South,2022-06-03,0
20,41.0,15,31.08,0,Month-to-month,Electronic Check,South,2019-04-05,0
21,61.0,29,79.85,1,One year,Credit Card,East,2018-03-02,0
22,47.0,8,29.5,2,Month-to-month,,North,2019-01-04,0
23,55.0,5,57.6,1,One year,Debit Card,North,2021-02-18,0
24,19.0,29,75.01,3,Month-to-month,Credit Card,South,2019-12-20,0
25,38.0,47,58.87,3,One year,Bank Transfer,South,2019-06-30,0
26,50.0,68,36.37,3,Month-to-month,Electronic Check,East,2022-05-25,0
27,29.0,45,47.38,2,Month-to-month,Credit Card,North,2020-11-06,0
28,39.0,2,112.83,2,Month-to-month,Credit Card,West,2019-05-11,1
29,61.0,27,87.6,1,Month-to-month,Bank Transfer,South,2019-05-12,0
30,42.0,36,69.6,4,Month-to-month,Electronic Check,East,2019-05-20,1
31,66.0,36,21.27,2,One year,Electronic Check,North,2022-04-05,0
32,44.0,26,119.24,2,One year,Debit Card,North,2020-08-26,0
33,59.0,43,87.15,2,One year,Debit Card,South,2021-08-31,0
34,45.0,27,51.69,1,Two year,Electronic Check,East,2020-12-28,0
35,33.0,69,107.93,1,Month-to-month,Bank Transfer,West,2022-10-17,0
36,32.0,20,45.84,0,Month-to-month,Bank Transfer,South,2018-06-10,0
37,64.0,11,74.4,3,Month-to-month,Debit Card,East,2022-06-26,0
38,68.0,38,83.61,2,One year,Credit Card,North,2023-03-27,0
39,61.0,6,42.11,2,Month-to-month,Bank Transfer,West,2019-12-19,0
40,69.0,23,117.84,2,One year,Credit Card,East,2021-03-14,0
41,,47,94.82,2,Month-to-month,Bank Transfer,West,2022-05-12,1
